Days elapsed,Bag,Treatment,E. huxleyi per mL,Extracellular EhVs per mL,#,Days elapsed,Bag,Treatment,Intracellular EhVs (relative MCP transcripts),#,Bag,Treatment,Days elapsed,EhV GSLs (relative units),Sytox (RFU),#
6.5,3,Redfield nutrients,8554,345096,#,,,,,#,5,Redfield nutrients,6.25,,,#
6.75,3,Redfield nutrients,10159,534098,#,,,,,#,5,Redfield nutrients,6.5,,,#
7,3,Redfield nutrients,9450,448167,#,,,,,#,5,Redfield nutrients,6.75,,,#
7.25,3,Redfield nutrients,17151,309506,#,,,,,#,5,Redfield nutrients,7,0,3.45,#
7.5,3,Redfield nutrients,20257,731028,#,,,,,#,5,Redfield nutrients,7.25,,,#
7.75,3,Redfield nutrients,18753,583633,#,,,,,#,5,Redfield nutrients,7.5,,,#
8,3,Redfield nutrients,36966,437146,#,,,,,#,5,Redfield nutrients,7.75,,,#
8.25,3,Redfield nutrients,34705,267293,#,,,,,#,5,Redfield nutrients,8,0,5.74,#
8.5,3,Redfield nutrients,44861,586323,#,,,,,#,5,Redfield nutrients,8.25,,,#
8.75,3,Redfield nutrients,59040,509352,#,,,,,#,5,Redfield nutrients,8.5,,,#
9,3,Redfield nutrients,63960,587782,#,,,,,#,5,Redfield nutrients,8.75,,,#
9.25,3,Redfield nutrients,87980,464286,#,,,,,#,5,Redfield nutrients,9,0,1.82,#
9.5,3,Redfield nutrients,97397,712488,#,,,,,#,5,Redfield nutrients,9.25,,,#
9.75,3,Redfield nutrients,106098,1283949,#,,,,,#,5,Redfield nutrients,9.5,,,#
10,3,Redfield nutrients,110924,686964,#,,,,,#,5,Redfield nutrients,9.75,,,#
10.25,3,Redfield nutrients,129955,594478,#,,,,,#,5,Redfield nutrients,10,0,1.6,#
10.5,3,Redfield nutrients,149009,1068754,#,,,,,#,5,Redfield nutrients,10.25,,,#
10.75,3,Redfield nutrients,138185,1056794,#,,,,,#,5,Redfield nutrients,10.5,,,#
11,3,Redfield nutrients,127357,944129,#,,,,,#,5,Redfield nutrients,10.75,,,#
11.25,3,Redfield nutrients,147101,812452,#,,,,,#,5,Redfield nutrients,11,0,1.9,#
11.5,3,Redfield nutrients,141360,1476951,#,,,,,#,5,Redfield nutrients,11.25,,,#
11.75,3,Redfield nutrients,125711,1817970,#,,,,,#,5,Redfield nutrients,11.5,,,#
12,3,Redfield nutrients,166116,1873577,#,,,,,#,5,Redfield nutrients,11.75,,,#
12.25,3,Redfield nutrients,170948,2581879,#,,,,,#,5,Redfield nutrients,12,3.6,1.53,#
12.5,3,Redfield nutrients,157069,3484567,#,,,,,#,5,Redfield nutrients,12.25,,,#
12.75,3,Redfield nutrients,151222,,#,,,,,#,5,Redfield nutrients,12.5,,,#
13,3,Redfield nutrients,151599,4030006,#,,,,,#,5,Redfield nutrients,12.75,,,#
13.25,3,Redfield nutrients,135731,9754681,#,,,,,#,5,Redfield nutrients,13,3.6,4.67,#
13.5,3,Redfield nutrients,128718,11663501,#,,,,,#,5,Redfield nutrients,13.25,,,#
13.75,3,Redfield nutrients,95827,12712580,#,,,,,#,5,Redfield nutrients,13.5,,,#
14,3,Redfield nutrients,94684,5763917,#,,,,,#,5,Redfield nutrients,13.75,,,#
14.25,3,Redfield nutrients,83223,26323125,#,,,,,#,5,Redfield nutrients,14,8.3,5.31,#
14.5,3,Redfield nutrients,73205,26655740,#,,,,,#,5,Redfield nutrients,14.25,,,#
14.75,3,Redfield nutrients,65125,25499441,#,,,,,#,5,Redfield nutrients,14.5,,,#
15,3,Redfield nutrients,59139,21817844,#,,,,,#,5,Redfield nutrients,14.75,,,#
15.25,3,Redfield nutrients,45932,28280790,#,,,,,#,5,Redfield nutrients,15,16.9,14.31,#
15.5,3,Redfield nutrients,29666,24336388,#,,,,,#,5,Redfield nutrients,15.25,,,#
15.75,3,Redfield nutrients,25237,23072944,#,,,,,#,5,Redfield nutrients,15.5,,,#
16,3,Redfield nutrients,18989,31046130,#,,,,,#,5,Redfield nutrients,15.75,,,#
16.25,3,Redfield nutrients,15783,23520784,#,,,,,#,5,Redfield nutrients,16,,,#
16.5,3,Redfield nutrients,12718,21757300,#,,,,,#,5,Redfield nutrients,16.25,,,#
16.75,3,Redfield nutrients,8670,,#,,,,,#,5,Redfield nutrients,16.5,,,#
17,3,Redfield nutrients,7077,23394000,#,,,,,#,5,Redfield nutrients,16.75,,,#
17.25,3,Redfield nutrients,4165,10381639,#,,,,,#,5,Redfield nutrients,17,,,#
0,5,Redfield nutrients,239,141065,#,,,,,#,5,Redfield nutrients,17.25,,,#
1,5,Redfield nutrients,312,141065,#,,,,,#,5,Redfield nutrients,17.5,,,#
1.5,5,Redfield nutrients,294,388446,#,,,,,#,,,,,,#
2.25,5,Redfield nutrients,374,253231,#,,,,,#,,,,,,#
2.5,5,Redfield nutrients,553,1306254,#,,,,,#,,,,,,#
2.75,5,Redfield nutrients,482,497646,#,,,,,#,,,,,,#
3,5,Redfield nutrients,661,235108,#,,,,,#,,,,,,#
3.25,5,Redfield nutrients,813,108501,#,,,,,#,,,,,,#
3.5,5,Redfield nutrients,1056,178096,#,,,,,#,,,,,,#
3.75,5,Redfield nutrients,844,431534,#,,,,,#,,,,,,#
4,5,Redfield nutrients,957,547364,#,,,,,#,,,,,,#
4.25,5,Redfield nutrients,1443,170011,#,,,,,#,,,,,,#
4.5,5,Redfield nutrients,1740,333956,#,,,,,#,,,,,,#
4.75,5,Redfield nutrients,2005,541187,#,,,,,#,,,,,,#
5,5,Redfield nutrients,2287,304908,#,,,,,#,,,,,,#
5.25,5,Redfield nutrients,2520,318359,#,,,,,#,,,,,,#
5.5,5,Redfield nutrients,2691,415604,#,,,,,#,,,,,,#
5.75,5,Redfield nutrients,3855,534105,#,,,,,#,,,,,,#
6,5,Redfield nutrients,2609,235116,#,,,,,#,,,,,,#
6.25,5,Redfield nutrients,4138,343687,#,,,,,#,,,,,,#
6.5,5,Redfield nutrients,3215,519511,#,,,,,#,,,,,,#
6.75,5,Redfield nutrients,3936,643750,#,,,,,#,,,,,,#
7,5,Redfield nutrients,3689,448167,#,,,,,#,,,,,,#
7.25,5,Redfield nutrients,5809,260257,#,,,,,#,,,,,,#
7.5,5,Redfield nutrients,5416,879466,#,,,,,#,,,,,,#
7.75,5,Redfield nutrients,5477,898441,#,,,,,#,,,,,,#
8,5,Redfield nutrients,9708,551030,#,,,,,#,,,,,,#
8.25,5,Redfield nutrients,10753,274328,#,,,,,#,,,,,,#
8.5,5,Redfield nutrients,13164,779292,#,,,,,#,,,,,,#
8.75,5,Redfield nutrients,17964,583633,#,,,,,#,,,,,,#
9,5,Redfield nutrients,19900,554718,#,,,,,#,,,,,,#
9.25,5,Redfield nutrients,26546,277846,#,,,,,#,,,,,,#
9.5,5,Redfield nutrients,29957,794129,#,,,,,#,,,,,,#
